player,pValue,slope,intercept,r-SquaredValue,stdErr,numDataPoints
Jason Williams,0.724155881072,-0.0387291821455,0.320612908919,0.000752254116317,0.109556609668,168
Chris Bosh,0.524188140541,-0.0608891223584,0.584411979515,0.000863620371499,0.0955304299671,472
Chris Duhon,0.394515728467,0.0671534292428,0.319531193936,0.00245038428647,0.078753976743,298
Dwight Howard,0.384339890719,0.079152673387,0.625087649025,0.00163846930597,0.0909011471845,464
Hedo Turkoglu,0.048948063166,0.167148041406,0.328100722841,0.00894498510737,0.0846483485069,434
Vince Carter,0.535167202993,0.0541432752983,0.414645364617,0.000803377013694,0.087245401463,481
Carlos Arroyo,0.087026127912,0.147260050281,0.322131494768,0.0152552534609,0.0856091890744,193
Jason Smith,0.606622718178,-0.0533620082882,0.462618712326,0.00170350422026,0.103425596229,158
Rashard Lewis,0.881932579619,-0.0144253804678,0.427174089399,5.56304988555e-05,0.0970651802839,399
Marquis Daniels,0.713284952104,-0.0312311879412,0.491883618864,0.00049901672029,0.0849059102842,273
Brandon Rush,0.44012331035,-0.0864168196894,0.438766867295,0.00299780778796,0.111716650465,201
Nick Young,0.708305212837,-0.0271041045878,0.428837944038,0.000440770473789,0.0723801575481,320
Manu Ginobili,0.700767859453,-0.0355305357816,0.476016419478,0.000370506453745,0.0923925493632,401
Serge Ibaka,0.489689859642,-0.0910745980323,0.632466098745,0.00282807196209,0.131550863968,171
Peja Stojakovic,0.12410053907,-0.211252207306,0.512308577338,0.0106194199019,0.136853548333,224
Luther Head,0.884304616692,0.0123202897187,0.415100439158,9.06787142602e-05,0.0845747307009,236
Antawn Jamison,0.613832669065,0.0500089211984,0.398215386808,0.000550402541998,0.099036942377,465
Kevin Garnett,0.34441738218,0.0911583492671,0.468732333377,0.00201811611386,0.096312541435,445
Leandro Barbosa,0.372408156671,0.0672084432219,0.421623833935,0.00190841100726,0.075267076869,419
Vladimir Radmanovic,0.816063092959,-0.0195838907253,0.423404576919,0.000211750597644,0.0841047813729,258
Damon Jones,0.93783730072,0.00655395778325,0.402015777224,4.01454208796e-05,0.0838986785077,154
Jason Maxiell,0.427209273286,-0.0677669799014,0.577012056959,0.0027550443441,0.0851994943982,231
Courtney Lee,0.585698007803,0.0496942947417,0.411829631961,0.00114428652422,0.0910550096739,262
Anthony Parker,0.609433336863,0.0535161832147,0.348705294888,0.000960865682898,0.104631051246,274
Luol Deng,0.876273075918,0.0158725701123,0.461374303908,5.41685015797e-05,0.101888008391,450
Jared Dudley,0.626626095442,0.0356861528063,0.400900275162,0.000784645633266,0.073280601884,304
Craig Smith,0.014076511755,-0.200341500479,0.708208454479,0.02485696729,0.0809982045057,242
Blake Griffin,0.680920006557,0.0745915406365,0.514531047269,0.000957565720512,0.181096733329,179
Jarvis Hayes,0.401761757564,0.0681647818804,0.355378195441,0.00301928208669,0.0811472157185,235
Rudy Fernandez,0.732552637758,-0.0319343086357,0.377389962929,0.000549403745421,0.0933259832932,215
Zaza Pachulia,0.557782111727,0.0583623595038,0.48083783907,0.00140992141703,0.0994338139676,246
Josh Smith,0.945572575959,0.00610007737103,0.475931716442,9.65895742887e-06,0.0893088618354,485
Royal Ivey,0.0346887847754,-0.174936526829,0.491278077762,0.0292021261179,0.0820822397407,153
Tony Allen,0.564668607347,0.0459032498443,0.492799672823,0.00120321147984,0.0796079568525,278
Tyreke Evans,0.210894698942,0.152565828759,0.388812672723,0.00751507452468,0.121568460996,210
Anderson Varejao,0.235262036165,0.0930164017224,0.533358365864,0.00565300633319,0.0781788194575,251
Jason Terry,0.921243442151,0.00658526346813,0.463106885342,1.72241452373e-05,0.0665773351172,570
Shawn Marion,0.963100387408,0.00456646912357,0.540825244316,5.22658382483e-06,0.0986457779533,412
Mo Williams,0.769251907388,-0.025864129276,0.420227551535,0.000216470276628,0.0881069523727,400
Steve Novak,0.81585296333,-0.0206462049377,0.4210612215,0.000333690824931,0.0885119332915,165
Jamal Crawford,0.307580873409,0.0681162695245,0.37325562161,0.00200963859622,0.0666945224616,520
Jarrett Jack,0.896163053902,-0.0082562979797,0.426819653731,3.45837972289e-05,0.0632292530167,495
Ronnie Brewer,0.613518650111,0.054442128406,0.481929670048,0.00124050474106,0.107629849187,208
J.J. Redick,0.00927213701162,-0.210890491393,0.487508128693,0.0222759724917,0.080531086509,303
Eddie House,0.132577345811,-0.0972055564429,0.441178981615,0.00671967178021,0.0644738105668,338
Allen Iverson,0.578915092094,0.0699948547062,0.410333730273,0.00119074585302,0.125964444057,261
Elton Brand,0.166798982791,-0.156866849713,0.59221504168,0.00537752460219,0.113228285098,357
Quentin Richardson,0.383267140092,0.0930089793462,0.33572092031,0.00365687991686,0.106449181033,210
Ray Allen,0.584867386346,0.0432302847301,0.433477948068,0.000628740818717,0.0790804060773,477
Marvin Williams,0.292973329208,0.108922524654,0.374565049078,0.00323313911496,0.103416359499,344
Dante Cunningham,0.687199951527,-0.0383454169869,0.5213583109,0.000950472372526,0.0950690535183,173
Antonio McDyess,0.832766262557,-0.0188152273902,0.501132413039,0.000163606398531,0.0890210015118,275
Zydrunas Ilgauskas,0.908596339091,0.012992616133,0.466029824123,5.36895161341e-05,0.113050542308,248
Emeka Okafor,0.97499669224,0.00332190956942,0.644716492225,3.18420175296e-06,0.10590283494,311
Michael Redd,0.658656684785,-0.0524484509823,0.407699512019,0.000794629279649,0.11857966274,248
Kobe Bryant,0.176340079399,0.108665879624,0.377795108584,0.00340184380108,0.0802618031575,539
Matt Carroll,0.784558555313,-0.02191622843,0.466826603803,0.000338891567927,0.0800692384931,223
Nicolas Batum,0.8510805405,-0.0239053202793,0.420266587354,0.000172338049534,0.127171450105,207
Jameer Nelson,0.89086890678,-0.0130423110683,0.429273823459,5.22181718163e-05,0.0949901957185,363
Willie Green,0.504887356257,-0.0511034336181,0.449141380214,0.00152421510939,0.0765427907644,294
Raja Bell,0.580166457179,0.0693979939898,0.353505506917,0.00119679785259,0.125301565399,258
Joey Graham,0.371279135351,-0.0858086194882,0.515541388045,0.00512747600407,0.0956974831451,158
